month,entry_date,entry_price,exit_date,exit_price,monthly_return_pct,holding_days,equity_curve,cumulative_return_pct,drawdown_pct
2018-06,2018-06-01,10915.0,2018-06-29,10677.0,-0.024879599999999846,29,0.9999832638023125,-0.001673619768749468,-0.04221851824474099
2018-07,2018-07-02,10611.0,2018-07-31,10989.0,0.03672000000000025,30,1.0003504576567805,0.03504576567805451,-0.0055140208846560235
2018-08,2018-08-01,11047.0,2018-08-31,11022.0,-0.0036034499999997934,31,1.000314410528214,0.03144105282140153,-0.009117272189684833
2018-09,2018-09-03,10935.0,2018-09-28,10955.0,0.0009055000000002109,26,1.0003234683752014,0.03234683752013634,-0.00821185474657593
2018-10,2018-10-01,11006.0,2018-10-31,9724.0,-0.1292364999999998,31,0.9990306853359947,-0.09693146640052941,-0.1374377420329087
2018-11,2018-11-01,9787.0,2018-11-30,9853.0,0.005618000000000029,30,0.9990868108798969,-0.0913189120103075,-0.13182746328526118
2018-12,2018-12-03,10122.0,2018-12-28,9671.0,-0.04608964999999989,26,0.9986263352655662,-0.13736647344337882,-0.17785635446881942
2019-01,2019-01-02,9536.0,2019-01-30,9926.0,0.03802690000000002,29,0.9990060819034514,-0.0993918096548585,-0.13989708772687015
2019-02,2019-02-11,9999.0,2019-02-27,10362.0,0.03528195000000014,17,0.9993585507297655,-0.06414492702344621,-0.1046644961474219
2019-03,2019-03-04,10311.0,2019-03-29,10598.0,0.0276545500000002,26,0.9996349188398563,-0.03650811601436654,-0.0770388906428443
2019-04,2019-04-01,10638.0,2019-04-30,10952.0,0.030320500000000177,30,0.9999380131454232,-0.006198685457681208,-0.046741749219680884
2019-05,2019-05-02,10978.0,2019-05-31,10455.0,-0.05337164999999986,30,0.9994043297288303,-0.05956702711696904,-0.10008845237687858
2019-06,2019-06-03,10471.0,2019-06-28,10580.0,0.009847450000000209,26,0.9995027455704983,-0.0497254429501659,-0.09025085853716641
2019-07,2019-07-01,10767.0,2019-07-31,10737.0,-0.004075199999999859,31,0.9994620138346109,-0.05379861653891371,-0.09432238063417087
2019-08,2019-08-01,10644.0,2019-08-30,10576.0,-0.007860999999999877,30,0.9993834461257033,-0.06165538742967103,-0.10217596595183398
2019-09,2019-09-02,10605.0,2019-09-27,10824.0,0.020828549999999994,26,0.9995916032064713,-0.040839679352866476,-0.08136869772399358
2019-10,2019-10-01,10954.0,2019-10-31,11346.0,0.038085000000000216,31,0.9999722976685526,-0.0027702331447443385,-0.04331468699251273
2019-11,2019-11-01,11371.0,2019-11-29,11465.0,0.008258200000000033,29,1.0000548773808386,0.005487738083864713,-0.03506006400598727
2019-12,2019-12-02,11502.0,2019-12-31,11995.0,0.04812515000000003,30,1.0005361552906604,0.05361552906604228,0.0
2020-01,2020-01-02,12102.0,2020-01-31,11468.0,-0.0645784999999998,30,0.999890024049616,-0.010997595038397812,-0.06457850000000098
2020-02,2020-02-03,11325.0,2020-02-27,11273.0,-0.006329899999999725,25,0.9998267320109837,-0.017326798901629026,-0.0709043122455344
2020-03,2020-03-02,11174.0,2020-03-31,9596.0,-0.15883849999999983,30,0.9982386222272585,-0.17613777727415458,-0.22963018889952114
2020-04,2020-04-01,9552.0,2020-04-30,10944.0,0.13817520000000005,30,0.9996179404399981,-0.03820595600019239,-0.09177228087230427
2020-05,2020-05-04,10615.0,2020-05-29,10922.0,0.029623150000000167,26,0.9999140587619214,-0.008594123807859066,-0.06217631671273649
2020-06,2020-06-01,11057.0,2020-06-30,11469.0,0.04007370000000028,30,1.0003147613220875,0.031476132208752006,-0.022127533063365235
2020-07,2020-07-01,11546.0,2020-07-31,12577.0,0.1018938500000002,31,1.0013340205445167,0.13340205445167008,0.0
2020-08,2020-08-03,12443.0,2020-08-31,12591.0,0.013548300000000018,29,1.0014696842816222,0.14696842816221967,0.0
2020-09,2020-09-01,12691.0,2020-09-30,12472.0,-0.023158149999999843,30,1.0012377624299318,0.1237762429931788,-0.023158149999991107
2020-10,2020-10-05,12529.0,2020-10-30,12414.0,-0.012747149999999782,26,1.0011101331504981,0.11101331504981271,-0.03590234799588643
2020-11,2020-11-02,12515.0,2020-11-30,13722.0,0.11938815000000014,29,1.0023053400179291,0.23053400179291472,0.0
2020-12,2020-12-01,13877.0,2020-12-31,14678.0,0.07867225000000017,31,1.0030938761807915,0.30938761807914883,0.0
2021-01,2021-01-04,14874.0,2021-01-29,15075.0,0.018602550000000155,26,1.003280477220655,0.32804772206549426,0.0
