original_date,Time,Symbol,Open,High,Low,Close,Volume,Signal
2018/01/17,2018-01-17,TX,-5.0,0.0,-32.0,-32.0,2426.0,0.0
2018/01/17,2018-01-17,TX,-5.0,-3.0,-5.0,-3.0,16.0,0.0
2018/01/17,2018-01-17,TX,-20.0,-15.0,-26.0,-26.0,53.0,0.0
2018/01/17,2018-01-17,TX,,,,,,0.0
2018/01/17,2018-01-17,TX,,,,,,0.0
2018/01/17,2018-01-17,TX,,,,,,0.0
2018/01/17,2018-01-17,TX,,,,,,0.0
2018/01/17,2018-01-17,TX,-485.0,-485.0,-485.0,-485.0,2.0,0.0
2018/01/17,2018-01-17,TX,-13.0,-13.0,-13.0,-13.0,17.0,0.0
2018/01/17,2018-01-17,TX,,,,,,0.0
2018/01/17,2018-01-17,TX,-75.0,-75.0,-75.0,-75.0,1.0,0.0
2018/01/17,2018-01-17,TX,,,,,,0.0
2018/01/17,2018-01-17,TX,,,,,,0.0
2018/01/17,2018-01-17,TX,,,,,,0.0
2018/01/17,2018-01-17,TX,,,,,,0.0
2018/01/17,2018-01-17,TX,,,,,,0.0
2018/01/17,2018-01-17,TX,,,,,,0.0
2018/01/17,2018-01-17,TX,10495.0,10522.0,10480.0,10482.0,141.0,0.0
2018/01/17,2018-01-17,TX,10456.0,10515.0,10456.0,10511.0,201.0,0.0
2018/01/17,2018-01-17,TX,10901.0,10929.0,10878.0,10878.0,107.0,0.0
2018/01/17,2018-01-17,TX,10863.0,10919.0,10862.0,10913.0,264.0,0.0
2018/01/17,2018-01-17,TX,10929.0,10980.0,10927.0,10973.0,1125.0,0.0
2018/01/17,2018-01-17,TX,10980.0,11008.0,10948.0,10954.0,5563.0,0.0
2018/01/17,2018-01-17,TX,10951.0,10996.0,10940.0,10989.0,68702.0,0.0
2018/01/17,2018-01-17,TX,10986.0,11014.0,10950.0,10955.0,13866.0,0.0
2018/01/17,2018-01-17,TX,10955.0,11024.0,10940.0,11020.0,85210.0,0.0
2018/01/17,2018-01-17,TX,10969.0,10994.0,10937.0,10943.0,283.0,0.0
2018/01/18,2018-01-18,TX,-16.0,-13.0,-16.0,-13.0,592.0,0.0
2018/01/18,2018-01-18,TX,,,,,,0.0
2018/01/18,2018-01-18,TX,-73.0,-69.0,-73.0,-70.0,99.0,0.0
2018/01/18,2018-01-18,TX,,,,,,0.0
2018/01/18,2018-01-18,TX,,,,,,0.0
